BusinessNum,PerformAgent,MergedText
1351900049,포항산업과학연구원,EQU 초고층빌딩 시공기술 연구단 1615002128.0 2.01e+19 NFEC-2012-06-164476 2012.0 2011.0 N17 국토해양부 33 첨단도시개발사업 ZC55483 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 P9999 달리 분류되지 않는 건설/교통 nan nan nan nan
1351900049,(주)대우건설,EQU 고성능 다기능 콘크리트 개발 및 활용기술 1615000891.0 2.01e+19 NFEC-2011-01-134331 2010.0 2009.0 N17 국토해양부 31 건설기술혁신사업 ZA13580 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 P04 건설시공/재료 nan nan nan nan
1351900049,대우버스(주),EQU 시리즈 하이브리드 버스용 고효율 전동시스템 개발 1415114015.0 2.01e+19 NFEC-2011-12-151793 2011.0 2010.0 N38 지식경제부 200807451400301A 에너지자원기술개발지원 AAJ0106 50218.0 기타 에너지기술 40100.0 차세대 자동차 (지능형· 하이브리드·연료전지 자동차) 기술 O12 친환경 공정 nan nan nan nan
1351900049,한국과학기술원,EQU 온라인 전기버스용 시스템 통합 및 평가기술 개발 1415109932.0 2.01e+19 NFEC-2011-02-143700 2010.0 2010.0 N38 지식경제부 201007435480301A 온라인자동차['10신규] B350021 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 K99 기타 전기/전자 nan nan nan nan
1351900049,(재)한국기계전기전자시험연구원,EQU 국내 산업육성 및 수출지원을 위한 국제표준기반 스마트미터링 시험·인증 기반구축 1415160942.0 2.02e+19 NFEC-2020-05-262849 2019.0 2018.0 P21 산업통상자원부 U00038 전력표준화및인증지원사업 ACB4003 50218.0 기타 에너지기술 90103.0 스마트 에너지그리드 기술 EF0501 IT기반 고부가 서비스 기술 EF0505 지능형 전력망 플랫폼 기술 EF0599 달리 분류되지 않는 전력 IT
1351900049,세방전지(주),EQU 하이브리드 버스용 베터리 팩 및 BMS 개발 1415113890.0 2.01e+19 NFEC-2011-12-151814 2011.0 2010.0 N38 지식경제부 200807451400301A 에너지자원기술개발지원 AAY6755 50218.0 기타 에너지기술 40100.0 차세대 자동차 (지능형· 하이브리드·연료전지 자동차) 기술 J01 화학공정 nan nan nan nan
1351900049,서울대학교,EQU 중성미자검출설비구축사업 1345098600.0 2.01e+19 NFEC-2013-02-176278 2011.0 2009.0 N15 교육과학기술부 200807012350402A 고가연구장비구축사업 7006431 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 B01 입자/장물리 nan nan nan nan
1351900049,한국원자력연구소,EQU 하나로기술관리 1350008900.0 201000000000.0 NFEC-2006-08-043158 2005.0 2004.0 21 과학기술부 2.00E+15 원자력연구소 ZD02184 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 30000.0 <비전Ⅲ. 환경/에너지 프론티어 진흥> P 원자력 nan nan nan nan
1351900049,한서대학교,EQU 제품표면처리디자인감성기술기반구축 1410057016.0 2.01e+19 NFEC-2007-10-012700 2005.0 2005.0 38 산업자원부 2.30E+15 디자인기반구축 7002269 60000.0 CT분야 40000.0 <비전Ⅳ. 기반주력산업 가치창출> 분야 S 기술혁신·과학기술정책 nan nan nan nan
1351900049,계명대학교,EQU 예측설계기반 전자화자동화부품 지역혁신센터 1415112769.0 2.01e+19 NFEC-2011-06-145683 2011.0 2010.0 N38 지식경제부 201007442010304B 지역특화산업육성 7001481 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 40100.0 차세대 자동차 (지능형· 하이브리드·연료전지 자동차) 기술 OC03 과학기술정책/사회 nan nan nan nan
1351900049,오영산업(주),EQU 제반견뢰도가 우수한 Non-Constrast 형 반응성 염료 개발 1425069785.0 2.01e+19 NFEC-2012-03-159356 2011.0 2011.0 N30 중소기업청 S2011 중소기업기술혁신개발사업 ZC04146 50312.0 환경친화형소재(Eco-material)개발기술 30400.0 환경친화적인 소재·제품 및 공정기술 C02 유기화학 nan nan nan nan
1351900049,대우조선해양(주),EQU 고소 작업용 이동 플랫폼 및 제어 시스템 개발 1415078789.0 2.01e+19 NFEC-2011-01-135123 2008.0 2007.0 38 산업자원부 2.01E+13 지역전략산업진흥 ZC86312 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 41200.0 지능형 생산시스템 기술 F1 기계 nan 자동화 기술 nan nan
1351900049,(주)대우건설,EQU 고농도 유기성 바이오매스의 선택적 고율 혐기성공정 적용을 통한 바이오 가스 발전 1415079941.0 2.01e+19 NFEC-2009-10-074531 2007.0 2007.0 38 산업자원부 2.01E+13 신재생에너지기술개발 ZA13580 50216.0 바이오에너지 기술 31600.0 바이오에너지기술 O5 에너지·자원 nan 신·재생에너지 nan nan
1351900049,대우버스㈜,EQU 유로-6 배기규제 대응 수소-천연가스(HCNG) 시내버스 개발 1485009492.0 2.01e+19 NFEC-2012-03-160665 2012.0 2011.0 N34 환경부 201103419330305A 차세대에코이노베이션기술개발 ACD6447 50211.0 에너지소재 기술 30100.0 대기오염물질 저감 및 제거기술 H09 자동차/철도차량 nan nan nan nan
1351900049,대한주택공사,EQU 건설 폐기물 재활용 기술개발 1505002396.0 2.01e+19 NFEC-2009-11-076665 2007.0 2007.0 17 건설교통부 2.01E+13 첨단도시개발사업 B500002 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 Q2 건설·교통 nan 시공·재료·건설관리 기술 nan nan
1351900049,두산중공업(주),EQU 3MW급 해상용 풍력발전시스템 개발 1415093677.0 2.01e+19 NFEC-2012-07-166465 2009.0 2008.0 N38 지식경제부 2.01E+15 신재생에너지기술개발(전력기금) ZB30318 50218.0 기타 에너지기술 32000.0 풍력에너지기술 O5 에너지·자원 nan 신·재생에너지 nan nan
1351900049,대우조선해양(주),EQU 차세대 고부가가치선박의 저진동·소음 기술개발 1415097328.0 2.01e+19 NFEC-2011-01-133631 2009.0 2009.0 N38 지식경제부 200807432560301A 그린카 등 수송시스템산업원천기술개발 ZC86312 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 40200.0 고부가가치 선박기술 H10 조선/해양시스템 nan nan nan nan
