BusinessNum,PublicationAgency,MergedText
4128106848,엔에이치네트웍스,양방향 무선 데이터 전송용 이동식 다기능 트레일러 시스템 개발 대한민국 1425107908.0 양방향 무선 데이터 전송용 이동식 다기능 트레일러 시스템 개발 양홍대
4091804389,진흥기업,2중 라이너 메디아 드럼 개발을 통한 냉각 및 탈사 효율 120% 향상 대한민국 1425130359.0 2중 라이너 메디아 드럼 개발을 통한 냉각 및 탈사 효율 120% 향상 조정임
1178809986,씨앤테크,스마트 IoT 동산담보솔루션 대한민국 1425109389.0 스마트 IoT 동산담보 솔루션 이정훈
1178809986,씨앤테크,공작기계용 IoT 융복합 Sensor/Module 개발 및 수집 Data 분석과 확장이 가능한 IoT Service Platform 개발 대한민국 1425095964.0 공작기계용 IoT 융복합Sensor/Module 개발 및 수집Data분석과 확장이 가능한 IoT Service Platform개발 김석현
1068607319,베스트케이에스,대용량 금융거래 데이터의 신뢰성 보장을 위한 메시지 지향 미들웨어 기술 개발 대한민국 1425128816.0 대용량 금융거래 데이터의 신뢰성 보장을 위한 메시지 지향 미들웨어 기술 개발 김준규
6528706526,한국통합민원센터,"주요 민원서류에 대한 자동번역 및 감수, 공증 이관시스템 대한민국 1425111394.0 주요 민원서류의 다국어 자동번역 및 감수, 공증 이관 시스템 김영석"
1388100885,(주)아이티굿,지체장애인 및 노약자를 위한 장애인편의정보 및 접근성 정보제공 모바일어플리케이션 개발 대한민국 1425079655.0 지체장애인 및 노약자를 위한 장애인편의정보 및 접근성 정보제공 모바일어플리케이션 개발 배종현
1138706011,인덱스솔루션,자동차 Wiper Blade 제품 공정 개선 대한민국 1425102896.0 자동차 Wiper Blade 제품 공정 개선 김종현
6138107051,태우산업,16kgf/㎠급 정량 제어가 가능한 자동 밸브 개발 대한민국 1415157744.0 16kgf/㎠급 정량 제어가 가능한 자동 밸브 개발 김재규
6138107051,태우산업,소형선박용 30㎏·f급 펌프 일체형 Water Turbo Thruster 개발 대한민국 1425110873.0 소형선박용 30kgf급 펌프 일체형 Water Turbo Thruster 개발 김재규
6138107051,태우산업,16kgf㎠급 정량 제어가 가능한 자동 밸브 개발 대한민국 1415154033.0 16kgf/㎠급 정량 제어가 가능한 자동 밸브 개발 김재규
1138601008,아이티로그,여과 및 냉각시스템을 갖춘 WIFI내장형 스마트 반려동물 급수기 개발 대한민국 1425112091.0 여과 및 냉각시스템을 갖춘 WIFI내장형 스마트 반려동물 급수기 개발 조화주
2148605120,(주)씨앤에이인더스트리,전기전자 패키징용 저온 속경화 고신뢰성 접착제 개발 및 공정 최적화 대한민국 1425096099.0 전기전자 패키징용 저온 속경화 고신뢰성 접착제 개발 및 공정 최적화 이용수
2148605120,(주)씨앤에이인더스트리,터치스크린패널OGS (One Glass Solution)용 White 밀베이스및 레지스트개발 대한민국 1425104953.0 터치스크린패널OGS (One Glass Solution)용 White 밀베이스및 레지스트개발 나성철
2148605120,(주)씨앤에이인더스트리,"고휘도, 고C/R LCD Color filter용 Blue Millbase 개발 대한민국 1425076278.0 고휘도, 고C/R LCD Color filter용 Blue Millbase 개발 나성철"
1148602144,(주)씨앤에스아이,이동통신망(3G)을 활용한 H.264기반의 휴대용 IP 카메라 모듈 개발 및 통합관제프로그램 개발 대한민국 1425075747.0 이동통신망(3G)을 활용한 H.264기반의 휴대용 IP 카메라 모듈 개발 및 통합관제프로그램 개발 김승광
1131201292,(주)에스티,웹 서비스 보안 플랫폼 및 응용 도구 개발 대한민국 1445006428.0 웹 서비스 보안 플랫폼 및 응용 도구 개발 정창훈
1131201292,(주)에스티,프로그레시브 성형 및 절연인쇄 공법에 의한 스마트폰용 Shield Can 개발 대한민국 1425106087.0 프로그레시브 성형 및 절연인쇄 공법에 의한 스마트폰용 Shield Can 개발 홍인수
1050504300,(주)폴리텍,고정밀 유체제어용 다이어프램 구조의 컨트롤 밸브 개발 대한민국 1425081552.0 고정밀 유체제어용 다이어프램 구조의 콘트롤 밸브 개발 예춘해
2208803433,매드스퀘어,동영상 패널플랫폼 및 개인화 추천서비스를 위한 기반기술 개발 대한민국 1425107289.0 동영상 패널플랫폼 및 개인화 추천서비스를 위한 기반기술 개발 안준희
2208803433,매드스퀘어,소셜네트워크 연동 수익분배형 전자상거래 플랫폼 개발 대한민국 1425126312.0 소셜네트워크 연동 수익분배형 전자상거래 플랫폼 개발 이효주
1178107908,액터스네트웍스(주),IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실표준화 대한민국 1711055635.0 IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실 표준화 조광호
