title,overview,cosine_similarity
(주)장원조경,"매토종자, 현장발생토 및 임목폐기물을 이용한 생태복원기술 개발 대한민국 1485011138.0 매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발 신경준EQU 매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발 1485009921.0 2.01e+19 NFEC-2014-04-187033 2012.0 2011.0 N34 환경부 201103419330305A 차세대에코이노베이션기술개발 AAN9581 20314.0 환경 생명공학기술 30500.0 생태계, 오염토양, 지하수 복원기술 O0401 훼손된 자연생태계 복원기술 nan nan nan nan","0.13774861312710004,0.12574037991722065,0.1252673512664824,0.11538161012978597,0.11324992084526297,0.11218201588571564,0.11208224944581727,0.1113475842149026,0.11076517839262287,0.10132592742548052"
나인테크,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발 대한민국 1425074135.0 Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발 황충호EQU PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 1425071068.0 2.01e+19 NFEC-2012-06-165497 2011.0 2011.0 N30 중소기업청 201003013510301B 산학연협력기술개발 ACD4675 10112.0 집적회로기술 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 I0608 전자부품 표면처리기술 nan nan nan nan,"0.5703591508144402,0.1202595613280467,0.11942644062881105,0.11642892296644314,0.11572108869115057,0.111533000255938,0.11059061383678617,0.10945406327464999,0.10868608225795463,0.10781427025470763"
나인테크,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 대한민국 1425077254.0 PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 황충호EQU PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 1425071068.0 2.01e+19 NFEC-2012-06-165497 2011.0 2011.0 N30 중소기업청 201003013510301B 산학연협력기술개발 ACD4675 10112.0 집적회로기술 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 I0608 전자부품 표면처리기술 nan nan nan nan,"0.5703591508144402,0.1333096326551125,0.11208356627104961,0.09618294755646142,0.08758871506415687,0.08736276757577596,0.08646493186302232,0.08614227649486365,0.08585825336892168,0.08516955197947244"
(주)가온테크,공기 대 공기 열교환기 보호용 케이스 제조 방식 및 조립 공정 개선 대한민국 1425087637.0 공기 대 공기 열교환기 보호용 케이스 제조 방식 및 조립 공정 개선 송길섭EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan,"0.7576577395409486,0.5670858262042581,0.46193367627164694,0.4356046262224158,0.16230231500493808,0.1037901953604056,0.08001477950700785,0.08001477950700785,0.07620479993880774,0.07468211468625613"
(주)가온테크,공조기 에너지 절감 향상을 위한 대향류형 열교환기 개발 대한민국 1425099421.0 공조기 에너지 절감 향상을 위한 대향류형 열교환기 개발 송길섭EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan,"0.6692120318849665,0.5670858262042581,0.4634753258057041,0.4414531419451573,0.21284216023459832,0.10884366664625379,0.10867028373773313,0.10055496068125261,0.09908731283095867,0.08813050088638255"
(주)가온테크,주기/보기 선박용 Urea-SCR Closed Loop형 통합제어 시스템 개발 대한민국 1425082312.0 주기/보기 선박용 Urea-SCR Closed Loop형 통합제어 시스템 개발 조경환EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan,"0.5332331358609269,0.4414531419451573,0.4356046262224158,0.391712193981854,0.15762001424270852,0.15736893287663062,0.11154325656838815,0.10180335795036334,0.09207851252062628,0.0918161781323641"
(주)가온테크,저주파수 보호방식 개선용 디지털 입력선택 출력제어 장치개발 대한민국 1425075417.0 저주파수 보호방식 개선용 디지털 입력선택 출력제어 장치개발 조영인EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan,"0.5626816366289581,0.4634753258057041,0.46193367627164694,0.391712193981854,0.108982962459078,0.09107586081456395,0.09093078119596405,0.08879168472589778,0.08414021582885474,0.08093655589298697"
(주)가온테크,공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 대한민국 1425082080.0 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 송길섭EQU 공기 대 공기 대형 공조형 PET Sheet 판형 열교환기 개발 1425082080.0 2.01e+19 NFEC-2014-09-191769 2014.0 2013.0 P48 중소기업청 S2051 창업성장-기술개발사업 AAS4646 50212.0 미활용 에너지 이용기술 31500.0 미활용에너지 이용기술 EA0701 공기조화/냉동기계 nan nan nan nan,"0.7576577395409486,0.6692120318849665,0.5626816366289581,0.5332331358609269,0.2232673865633687,0.12200471046219287,0.12181036262179981,0.11271375948152752,0.07550329455667149,0.06715434072981066"
에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 대한민국 1711029261.0 통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 곽승환EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan,"0.9730549239661198,0.538981549805396,0.538981549805396,0.48051524096816045,0.12577908200373272,0.11770174375704413,0.11770174375704413,0.11438078969785032,0.11160288017073236,0.11076675402734856"
에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발 대한민국 1711021943.0 양자암호통신 네트워크 구축을 위한 요소기술 개발 조석범EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan,"0.9693320338182133,0.5455973056589628,0.538981549805396,0.538981549805396,0.16429431471311665,0.16429431471311665,0.15965875151810374,0.15461408952006678,0.14734125612699148,0.14337445011587907"
