,BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
32523,1178101784,1.02E+12,61726830,CN,2017-08-31,A,2.02E+11,CN,2018-07-03,A,108239670
32524,1178101784,1.02E+12,61726830,CN,2017-08-31,A,2.02E+11,CN,2018-07-10,A,108265115
32525,1178101784,1.02E+12,61726830,KR,2017-12-21,W,2017015173,WO,2018-07-05,A1,2018124617
32526,1178101784,1.02E+12,61726830,KR,2017-06-27,A,20170080906,KR,2018-03-05,B1,101833504
32527,1178101784,1.02E+12,61531409,US,2017-08-09,A,2.02E+11,US,2019-07-11,A1,2019209628
32528,1178101784,1.02E+12,57080496,EP,2016-03-11,A,16762026,EP,2020-08-05,B1,3269378
32529,1178101784,1.02E+12,57080496,EP,2016-03-11,A,16762026,EP,2018-01-17,A2,3269378
32530,1178101784,1.02E+12,57080496,CN,2016-03-11,A,2.02E+11,CN,2022-01-14,B,107750161
32531,1178101784,1.02E+12,57080496,JP,2016-03-11,A,2017547484,JP,2018-04-26,A,2018511583
32532,1178101784,1.02E+12,61525027,EP,2017-08-07,A,17839750,EP,2019-06-19,A1,3498285
32533,1178101784,1.02E+12,68070293,EP,2019-03-05,A,19763721,EP,2021-12-01,A4,3763829
32534,1178101784,1.02E+12,,,,,,,,,
32535,1178101784,1.02E+12,,,,,,,,,
32536,1178101784,1.02E+12,71142970,SG,2019-11-20,A,11202101841Q,SG,2021-03-30,A,11202101841Q
32537,1178101784,1.02E+12,69103422,CN,2019-06-12,A,2.02E+11,CN,2021-02-09,A,112351692
32538,1178101784,1.02E+12,69103422,EP,2019-06-12,A,19822590,EP,2021-06-23,A1,3837992
32539,1178101784,1.02E+12,62920367,KR,2018-10-24,A,20180127819,KR,2018-11-01,A,20180119154
32540,1178101784,1.02E+12,62920367,US,2017-12-21,A,2.02E+11,US,2020-11-12,A1,2020354795
32541,1178101784,1.02E+12,67776349,KR,2019-12-18,W,2019017996,WO,2020-06-25,A1,2020130624
32542,1178101784,1.02E+12,66285261,KR,2019-12-18,W,2019018001,WO,2020-06-25,A1,2020130627
32543,1178101784,1.02E+12,61726998,JP,2017-12-15,A,2019531914,JP,2021-03-24,B2,6846833
32544,1178101784,1.02E+12,61729302,CN,2017-12-20,A,2.02E+11,CN,2019-10-25,A,110382719
32545,1178101784,1.02E+12,61726830,CN,2017-12-21,A,2.02E+11,CN,2019-10-25,A,110382715
32546,1178101784,1.02E+12,61726830,US,2017-12-21,A,2.02E+11,US,2020-05-21,A1,2020157608
32547,1178101784,1.02E+12,61726830,JP,2017-12-21,A,2019534797,JP,2021-08-04,B2,6914551
32548,1178101784,1.02E+12,65367755,CN,2019-02-11,A,2.02E+11,CN,2020-09-29,A,111727263
32549,1178101784,1.02E+12,65367755,EP,2019-02-11,A,19754361,EP,2020-12-23,A1,3754032
32550,1178101784,1.02E+12,65367755,EP,2019-02-11,A,19754361,EP,2021-11-17,A4,3754032
32551,1178101784,1.02E+12,76140135,KR,2021-06-14,W,2021007369,WO,2021-12-23,A1,2021256793
32552,1178101784,1.02E+12,65323300,EP,2019-01-25,A,19744087,EP,2021-11-24,A4,3748018
32553,1178101784,1.02E+12,56126893,EP,2015-12-10,A,15870243,EP,2018-06-20,A4,3235910
32554,1178101784,1.02E+12,56126893,JP,2015-12-10,A,2017532144,JP,2017-12-28,A,2017538421
32555,1178101784,1.02E+12,68070249,EP,2019-03-05,A,19764446,EP,2021-01-13,A1,3763830
32556,1178101784,1.02E+12,68070249,JP,2019-03-05,A,2020546410,JP,2021-07-01,A,2021516054
32557,1178101784,1.02E+12,61531409,JP,2017-08-09,A,2019508939,JP,2020-09-30,B2,6763083
32558,1178101784,1.02E+12,61531409,EP,2017-08-09,A,17841640,EP,2020-05-06,A4,3501527
32559,1178101784,1.02E+12,61531409,KR,2017-08-08,A,20170100459,KR,2019-03-29,B1,101963957
32560,1178101784,1.02E+12,70291099,KR,2019-08-13,W,2019010267,WO,2020-07-09,A1,2020141685
