BusinessNum,PressName,NewsDate,NewsTitle,NewsContent,JstName,UrlLink
1358107212,데일리시큐,2021-02-02,"진진시스템, 한국스포츠정책과학원 스포츠과학 정보넷 구축","스포츠 분야 전문 소프트웨어 개발사인 (주)진진시스템은 최근 한국스포츠정책과학원의 '스포츠과학 정보넷'을 개발⋅구축했다고 밝혔다.해당 시스템은 배드민턴, 역도, 펜싱 종목의 차세대 국가대표(꿈나무-유망주-후보)의 경기력 정보(체력, 기술/영상, 심리 평가결과)를 모바일기반으로 편리하게 제공하는 시스템이며 앞으로 선수들의 경기력 향상에 많은 도움을 줄 수 있을 것으로 예상된다.진진시스템 관계자는 “차세대 국가대표선수들에게 개인별 맞춤형 정보를 제공하여 경기력을 향상시킴으로써 우리나라 스포츠 발전에 이바지하도록 노력하겠다”고 밝혔다.한편, 진진시스템(주)는 1993년 10월 창업을 시작으로 국산 기술로 다양한 소프트웨어를 개발하고 있으며, 관련 특허를 보유하고 있다.",,
1208700159,머니투데이,2006-03-31,"[MT비즈]에이스컨설팅, 빌딩임대차 원스톱","전문지식을 바탕으로 사무실 임대차 및 빌딩매매를 전문으로 성장하는 회사가 있다. (주)에이스어드바이저즈코리아(이하 ACE컨설팅. 대표 박상준)이다. 이 회사는 테헤란밸리를 중심으로 아셈타워, 무역센터, 스타타워, 교보강남타워, 도심공항타워, 도심공항터미널, 글라스타워 등에 입주해 있는 국내외 굴지 기업들의 수많은 임차실적을 보유하고 있다.

ACE컨설팅은 COEX의 오피스컨설팅 공식 파트너사였고, 현재 YTN남산서울타워 전속파트너사이다. 스타타워는 CBRE 다음으로, 교보강남타워는 신영에셋 다음으로 많은 임차실적을 갖고 있다. 그리고 아시아원빌딩(여의도 구한나라 당사)에 입주한 하나로텔레콤 본사이전건은 2005년 업계 최고의 사업실적으로 세간의 주목을 받았다.

ACE컨설팅은 빌딩 임대차대행과 함께 매매, 컨설팅, 기업서비스를 통해 강남 대형 첨단 오피스빌딩의 공실 해결과 자산관리(PM)까지 원스톱 체제로 내실을 다져왔다. 박상준 대표는 ""몇년 전 IT업계의 급성장으로 임차의뢰가 활발한 적이 있었다. 앞으로도 오피스 임대차시장의 성장과 함께 지속적인 임대료의 상승이 있을 것으로 본다. ACE컨설팅은 고객서비스를 위해 수준 높은 오피스빌딩 자료와 차별화된 계약서비스를 제공한다. 업무과정에서 클라이언트들이 만족하는 충분한 자료를 제공함으로써 높은 신뢰를 얻고 있다.""고 설명했다.

박 대표는 또 ""최근 들어 클라이언트들의 빌딩 보유에 대한 관심이 높아짐에 따라 ACE컨설팅은 빌딩 거래에 대한 서비스를 강화하고 있다.""고 덧붙였다. 그는 ""얼마 전부터 자산운용사 등 금융사들의 투자패턴이 변하고 있다. 기존에는 오피스빌딩 투자에 집중했으나 최근 들어 상업시설, 물류창고, 골프장, 주상복합, 영화관 투자 등으로 다변화된 투자패턴을 보이고 있다. 이에 따라 ACE컨설팅은 금융사들의 아웃소싱 전문파트너로서 다양한 맞춤서비스를 제공하고 있다.""고 말했다.

ACE컨설팅은 부동산 투자환경의 변화에 능동적으로 대처하기 위해 신규 프로젝트를 강화하고 있다. (주)지티지플래닝이라는 아웃소싱 전문회사를 설립해 기획 마케팅리서치 분양 등의 서비스를 제공하고 있는 것. 지티지플래닝은 남양주 소재 대단지아파트 단지내 상가의 분양을 시작으로, 올 연말 분양예정인 아파트 분양업무를 추진하고 있다. (02)555-3910.",,
1058704690,전자신문,2017-11-28,"에이티지랩, ‘코드엔조이’ 프로그래밍 및 실습 할 수 있는 환경 제공",,,
1918803596,국제뉴스,2017-12-27,부산 파운더스의 밤 개최…부산·경남 스타트업 '한자리',,,
1470204046,울산제일일보,2021-04-23,"울주군-(주)금호이엔지, 에너지융합 일반산단 입주계약",,,
1351900049,재외동포신문,2019-05-07,독일 이주 한인 근로자들의 근로자의 날 기념 축제,,,
1059006101,세정일보,2022-01-10,"국세청, `22년 납세자의 날 모범납세자 643명 사전공개…더존테크윌, 광교세무법인 등 후보",,,
3158106574,아시아경제,2017-05-25,"LF, 패션 온라인몰도 정리한다","<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",,
1050801982,한국금융신문,2017-04-03,"농협중앙회, 선도조합장상 등 우수 임직원·사무소 시상",,,
1058607122,아웃소싱타임스,2018-04-05,고객을 위한 최적의 맞춤형 인재서비스를 제공하는 맨토스파워,,,
1238101777,뉴스핌,2021-09-09,"한정애 환경부장관, 국내 소각 기술 공법사 관계자 면담",,,
2218105203,일간NTN,2018-01-17,제52회 납세자의 날 모범납세자 후보자 명단,,,
1103508638,천지일보,2022-02-09,"2022 위대한 한국인 100인 대상… ""화합과 상생, 나눔의 정신"" 강조",,,
