BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
1208105209,1020000000000.0,64132135.0,JP,2017-07-26,A,2017144280,JP,2019-01-17,A,2019009754
2148600636,1020000000000.0,61227996.0,TW,2017-09-28,A,106133471,TW,2019-06-21,B,I663223
2208100960,1020000000000.0,46880167.0,KR,2013-03-29,W,2013002610,WO,2013-10-24,A1,2013157755
5048106882,1020000000000.0,63593942.0,KR,2018-08-22,W,2018009686,WO,2019-06-20,A1,2019117426
1448103831,1020000000000.0,54144975.0,KR,2015-03-20,W,2015002723,WO,2015-09-24,A1,2015142099
3148105617,1020000000000.0,55581461.0,KR,2015-09-23,W,2015009987,WO,2016-03-31,A1,2016048022
2148708825,1020000000000.0,45506149.0,KR,2012-03-27,W,2012002203,WO,2012-10-18,A2,2012141435
3158109722,1020000000000.0,52679199.0,CN,2015-06-09,A,2.02E+11,CN,2017-02-22,A,106463939
2068606813,1020000000000.0,65584734.0,KR,2019-12-03,W,2019016963,WO,2020-06-11,A1,2020116914
1198606041,1020000000000.0,64455522.0,CN,2018-05-30,A,2.02E+11,CN,2020-01-14,A,110691517
2068105460,1020000000000.0,60139196.0,KR,2017-06-19,W,2017006405,WO,2017-12-28,A1,2017222258
2118805551,1020000000000.0,49327799.0,KR,2013-02-26,W,2013001522,WO,2013-10-17,A1,2013154265
3128609324,1020000000000.0,67258823.0,EP,2019-09-03,A,19896514,EP,2021-10-20,A1,3895690
1198103533,1020000000000.0,61001604.0,KR,2018-08-07,W,2018008936,WO,2019-02-14,A1,2019031801
2148604846,1020000000000.0,71090523.0,KR,2020-07-07,W,2020008842,WO,2021-01-14,A1,2021006595
5158108528,1020000000000.0,63593629.0,US,2018-08-17,A,2.02E+11,US,2020-08-13,A1,2020254744
4458804443,1020000000000.0,64959686.0,KR,2018-03-23,W,2018003429,WO,2019-09-26,A1,2019182177
1148103268,1020000000000.0,40032088.0,KR,2008-05-16,W,2008002732,WO,2008-11-27,A1,2008143431
2048802791,1020000000000.0,71526703.0,EP,2020-03-11,A,20770596,EP,2022-01-19,A1,3940209
1178100275,1020000000000.0,62780136.0,JP,2017-12-11,A,2017237201,JP,2019-01-17,A,2019008768
8288804759,1020000000000.0,75337137.0,KR,2020-08-25,W,2020011316,WO,2021-04-08,A1,2021066325
8968600318,1020000000000.0,75148613.0,KR,2021-12-13,A,20210178127,KR,2021-12-21,A,20210154948
1018100111,1020000000000.0,58691467.0,US,2016-02-26,A,2.02E+11,US,2018-10-02,B2,10091004
5078101988,1020000000000.0,55020988.0,US,2015-10-05,A,2.02E+11,US,2018-04-19,A1,2018110003
8498802492,1020000000000.0,60920001.0,US,2017-04-17,A,2.02E+11,US,2018-09-27,A1,2018275764
2648100940,1020000000000.0,72293020.0,KR,2019-02-12,A,20190016337,KR,2020-08-20,A,20200098325
3178107501,2020000000000.0,19639583.0,KR,2000-01-19,A,20000002371,KR,2001-08-01,A,20010073611
3148100615,1020000000000.0,57165209.0,CN,2016-11-11,U,2.02E+11,CN,2017-08-11,U,206391429
1208109353,1020000000000.0,71021525.0,CN,2019-01-08,A,2.02E+11,CN,2020-06-16,A,111292424
1818603168,1020000000000.0,74852648.0,KR,2019-11-26,W,2019016322,WO,2021-03-11,A1,2021045320
3018101879,1020000000000.0,54057959.0,US,2014-10-10,A,2.01E+11,US,2018-09-11,B2,10072910
1308704054,1020000000000.0,75728407.0,KR,2021-01-21,A,20210009011,KR,2021-10-19,A,20210125895
6052508486,1020000000000.0,68067400.0,KR,2019-08-06,W,2019009764,WO,2020-02-20,A1,2020036356
1318600450,1020000000000.0,56616498.0,US,2017-02-13,A,2.02E+11,US,2017-08-17,A1,2017237738
1238105633,2020000000000.0,51989059.0,KR,2014-03-05,W,2014001796,WO,2014-12-04,A1,2014193073
1048106726,1020000000000.0,66600160.0,CN,2018-05-07,A,2.02E+11,CN,2019-05-28,A,109815972
6098609175,1020000000000.0,57143218.0,KR,2015-08-26,W,2015008948,WO,2016-10-27,A1,2016171338
1528802766,1020000000000.0,75222390.0,KR,2021-03-12,A,20210032955,KR,2021-07-12,A,20210087407
4038608021,1020000000000.0,66247865.0,KR,2018-09-05,W,2018010358,WO,2019-05-02,A1,2019083155
1058108796,1020000000000.0,54247195.0,KR,2015-12-15,W,2015013696,WO,2016-06-23,A1,2016099105
8538703625,1020000000000.0,73653218.0,KR,2020-05-14,W,2020006329,WO,2020-12-10,A1,2020246723
1968602195,1020000000000.0,70291022.0,KR,2020-10-23,W,2020014624,WO,2021-04-29,A1,2021080392
1448104811,1020000000000.0,73779230.0,US,2020-08-13,A,2.02E+11,US,2022-01-25,B2,11233837
5528703886,1020000000000.0,68058242.0,KR,2018-03-27,W,2018003587,WO,2019-10-03,A1,2019189950
3013104682,1020000000000.0,48441869.0,JP,2012-03-23,A,2012067739,JP,2013-08-29,A,2013167616
1078701911,1020000000000.0,38981634.0,KR,2006-09-20,W,2006003732,WO,2008-01-31,A1,2008013335
1318601943,2020000000000.0,19670509.0,KR,2000-05-26,A,20000028733,KR,2001-12-07,A,20010107311
2308101547,1020000000000.0,68067637.0,KR,2018-11-06,W,2018013374,WO,2019-11-21,A1,2019221346
1058705635,1020000000000.0,67775093.0,CN,2020-01-03,A,2.02E+11,CN,2020-08-18,A,111543778
2094404434,1020000000000.0,55308130.0,CN,2016-01-15,A,2.02E+11,CN,2016-07-27,A,105805404
2208706699,1020000000000.0,69642999.0,KR,2019-04-30,W,2019005198,WO,2020-03-05,A1,2020045789
1298606667,1020000000000.0,72040116.0,KR,2019-12-20,A,20190171872,KR,2020-09-04,B1,102152325
1058704077,1020000000000.0,51759310.0,KR,2013-12-24,W,2013012108,WO,2015-04-30,A1,2015060500
2658700634,1020000000000.0,61660529.0,US,2018-06-28,A,2.02E+11,US,2020-07-09,A1,2020215840
2068102255,1020000000000.0,55789886.0,KR,2016-11-11,W,2016012959,WO,2017-06-29,A1,2017111307
1248707653,1020000000000.0,37924650.0,JP,2005-08-30,A,2005248759,JP,2007-03-15,A,2007061836
3148606317,1020000000000.0,52287129.0,US,2015-01-27,A,2.02E+11,US,2017-10-10,B2,9785265
