,BusinessNum,applicantName,applicationDate,applicationNumber,inventionTitle,ipcNumber,registerNumber,registerStatus
212,1208705111,,,,,,,
213,1058704690,,,,,,,
214,1098108140,,,,,,,
215,2118602170,,,,,,,
216,4108607622,,,,,,,
217,1148600418,,,,,,,
218,4178105554,,,,,,,
219,1918803596,,,,,,,
220,7052100784,,,,,,,
221,6168607659,,,,,,,
222,6138105317,,,,,,,
223,1058602093,,,,,,,
224,2138601148,,,,,,,
225,6188603117,,,,,,,
226,8848105899,,,,,,,
227,1148608870,,,,,,,
228,3018607724,,,,,,,
229,1058706833,,,,,,,
230,1245206691,,,,,,,
231,8968801450,,,,,,,
232,6058609173,,,,,,,
233,4688607128,,,,,,,
234,6198101691,,,,,,,
235,3478805734,,,,,,,
236,1268604124,,,,,,,
237,8878703946,,,,,,,
238,1768105257,,,,,,,
239,4178103172,,,,,,,
240,4498706798,,,,,,,
241,1470204046,,,,,,,
242,2208804998,,,,,,,
243,5755606940,['주식회사 코네코'],2006-02-16,2.02E+12,포세식 변기의 냄새 역류 방지 장치,"['E03D 11/10', 'E03D 9/02']",2.00E+12,소멸
244,1351900049,,,,,,,
245,1051803993,,,,,,,
246,1088102333,,,,,,,
247,1138109377,,,,,,,
248,8578705077,,,,,,,
249,5958606577,,,,,,,
250,3838804771,,,,,,,
251,2208709660,,,,,,,
252,1191306943,,,,,,,
253,5048504267,,,,,,,
254,4908809446,,,,,,,
255,1228105549,,,,,,,
256,8848707030,,,,,,,
257,2068604206,,,,,,,
258,5688700744,,,,,,,
259,4398707444,,,,,,,
260,1448100643,,,,,,,
261,1388109539,,,,,,,
262,1178105037,,,,,,,
263,4018105438,,,,,,,
264,1218102952,,,,,,,
265,1058609354,,,,,,,
266,2110605903,,,,,,,
267,6318107469,,,,,,,
268,1188100369,,,,,,,
269,5668103896,,,,,,,
270,1208709416,,,,,,,
271,1298100577,,,,,,,
272,2148704816,,,,,,,
273,6178601908,,,,,,,
274,4668601446,,,,,,,
275,5940900141,,,,,,,
276,1052104988,,,,,,,
277,2248103704,,,,,,,
278,1059006101,,,,,,,
279,6178105709,,,,,,,
280,4428807687,,,,,,,
281,1318508622,,,,,,,
282,4878609340,,,,,,,
283,6028104601,,,,,,,
284,8818801372,,,,,,,
285,1128104294,,,,,,,
286,1068605639,,,,,,,
287,5458102708,,,,,,,
288,1108101878,,,,,,,
289,6968606032,,,,,,,
290,2108106066,,,,,,,
291,1178108383,,,,,,,
292,5158606366,,,,,,,
293,1028100591,,,,,,,
294,3158106574,,,,,,,
295,1243401469,,,,,,,
296,2118609462,,,,,,,
297,4628104825,,,,,,,
298,4728601627,,,,,,,
299,1050801982,,,,,,,
300,4018103032,,,,,,,
301,3558703000,,,,,,,
302,2648106019,,,,,,,
303,3178105178,,,,,,,
304,1058607122,,,,,,,
305,6168107847,,,,,,,
306,6638702317,,,,,,,
307,1198103267,,,,,,,
308,1238101777,,,,,,,
309,2118605867,,,,,,,
310,2118101597,,,,,,,
311,1358107642,,,,,,,
312,3718805857,,,,,,,
313,6998100589,,,,,,,
314,1198601017,,,,,,,
315,1138107370,,,,,,,
316,6698704991,,,,,,,
317,2218105203,,,,,,,
318,7188104938,,,,,,,
319,2018604204,,,,,,,
320,8138100244,,,,,,,
321,1103508638,,,,,,,
322,1098606060,,,,,,,
323,2068603342,,,,,,,
324,1348604431,,,,,,,
325,2208803691,,,,,,,
326,1068604035,,,,,,,
327,1358105033,,,,,,,
328,1058708972,,,,,,,
329,8468609719,,,,,,,
330,1688605374,,,,,,,
331,2098105495,,,,,,,
332,3658102937,,,,,,,
333,1208108424,,,,,,,
334,2048107262,,,,,,,
335,1058703206,,,,,,,
336,2268102075,,,,,,,
337,3108104984,,,,,,,
338,1058706495,,,,,,,
339,2248105652,,,,,,,
340,1108201361,,,,,,,
341,4168105788,,,,,,,
342,1068605834,,,,,,,
343,6088108584,,,,,,,
344,8128109787,,,,,,,
345,8608109846,,,,,,,
346,1138608639,,,,,,,
347,3758609390,,,,,,,
348,4108104535,,,,,,,
349,1098609602,,,,,,,
350,1242209949,,,,,,,
351,4128106787,,,,,,,
352,2068602667,,,,,,,
353,5058101789,,,,,,,
354,1148104458,,,,,,,
355,1018100198,,,,,,,
356,1638704156,,,,,,,
357,1218105714,,,,,,,
358,1111202274,,,,,,,
359,2618101056,,,,,,,
360,1018604405,,,,,,,
361,1068606141,,,,,,,
362,4028105074,,,,,,,
363,1338108121,,,,,,,
364,6648107814,,,,,,,
365,2138605289,,,,,,,
366,1058706947,,,,,,,
367,1048604841,,,,,,,
368,1268608762,,,,,,,
369,7838500073,,,,,,,
370,6158108442,,,,,,,
371,1298106266,,,,,,,
372,5028607423,,,,,,,
373,1018602889,,,,,,,
374,8326206771,,,,,,,
375,1100200009,,,,,,,
376,3148108176,,,,,,,
377,1388104693,,,,,,,
378,1078600926,,,,,,,
379,8108604531,,,,,,,
380,5808602038,,,,,,,
381,6038108750,,,,,,,
382,1348604345,,,,,,,
383,2068106589,,,,,,,
384,4098600910,,,,,,,
385,6728101587,,,,,,,
386,1028106479,,,,,,,
387,2668603681,,,,,,,
388,4028108115,,,,,,,
389,1168101538,,,,,,,
390,8068705012,,,,,,,
391,6118108886,,,,,,,
392,2278100246,,,,,,,
393,3148605426,,,,,,,
394,1058805342,,,,,,,
395,1078605328,,,,,,,
396,6078107978,,,,,,,
397,1052709624,,,,,,,
398,1188103114,,,,,,,
399,5998108939,,,,,,,
400,4868809683,,,,,,,
401,4028109306,,,,,,,
402,5528800435,,,,,,,
403,1078601381,,,,,,,
404,4588604384,,,,,,,
405,3128108676,,,,,,,
406,1058707096,,,,,,,
407,5098100381,,,,,,,
408,3018102673,,,,,,,
409,4808100967,,,,,,,
410,1098605340,,,,,,,
411,3148602517,,,,,,,
412,2538807078,,,,,,,
413,6168106303,,,,,,,
414,5658601964,,,,,,,
415,6178101790,,,,,,,
416,6038807348,,,,,,,
417,1738709763,,,,,,,
418,3248603307,,,,,,,
419,3978603156,,,,,,,
420,6218107252,,,,,,,
421,3158100280,,,,,,,
422,2208703726,,,,,,,
423,3418603674,,,,,,,
424,5048102546,,,,,,,
425,1358101705,,,,,,,
426,6032408286,,,,,,,
427,8588802771,,,,,,,
428,2068607532,,,,,,,
429,3078108250,,,,,,,
430,2208601771,,,,,,,
431,2148601921,,,,,,,
432,8198707609,,,,,,,
433,6168607017,,,,,,,
434,1198607881,,,,,,,
435,1378607735,,,,,,,
436,1068602901,,,,,,,
437,2118603833,,,,,,,
438,6128102788,,,,,,,
439,4178101548,,,,,,,
440,1058701694,,,,,,,
441,3148100117,,,,,,,
442,4168104642,,,,,,,
443,2148102516,,,,,,,
444,4278801761,,,,,,,
445,4188108497,,,,,,,
446,1378106944,,,,,,,
447,1378607374,,,,,,,
448,1358104277,,,,,,,
449,1298105701,,,,,,,
450,4028508278,,,,,,,
