BusinessNum,stYear,노무비,당기순이익(손실),당좌부채(당좌차월),당좌자산,대손상각비,매출 증가율,매출액,매출원가,매출채권,매출총이익,법인세비용,부채총계,비유동부채,수출액1,수출액2,수출액3,수출액4,수출액5,영업외비용,영업이익,원재료,유동부채,유동비율,유동자산,유형자산 증가율,이익잉여금,이자비용,인건비,자기자본,자본잉여금,자본총계,자산총계,재고자산,제조경비,제조원가,차입금,총자산,총자산 증가율,투자자산,판매비와관리비,cmpCd,cmpScl,criGrd,accDate,grdDesc
1018102876,2018.0,0.0,11995393.0,0.0,103230709.0,0.0,45.317,57164228.0,0.0,3673318.0,57164228.0,3031970.0,58813498.0,1048204.0,0.0,0.0,0.0,0.0,0.0,151898.0,13169603.0,0.0,57765294.0,178.707,103230709.0,40.014,50383534.0,0.0,6566578.0,55117978.0,0.0,55117978.0,113931476.0,0.0,0.0,0.0,0.0,113931476.0,13.558,4675474.0,43994626.0,1144503.0,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
1018102876,2019.0,0.0,12879368.0,0.0,147181933.0,0.0,14.686,65559474.0,0.0,3480498.0,65559474.0,3152023.0,58598434.0,838531.0,0.0,0.0,0.0,0.0,0.0,415145.0,13432507.0,0.0,57759903.0,254.817,147181933.0,90.452,63536906.0,7513.0,8586563.0,110637393.0,48525583.0,110637393.0,169235827.0,0.0,0.0,0.0,165474.0,169235827.0,48.542,12883967.0,52126966.0,1144503.0,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
1018102876,2020.0,0.0,11585193.0,0.0,162935650.0,0.0,17.677,77148393.0,0.0,3576264.0,77148393.0,3509083.0,85090510.0,1404123.0,0.0,0.0,0.0,0.0,0.0,94939.0,11102617.0,0.0,83686386.0,194.698,162935650.0,78.658,71803592.0,37999.0,9250712.0,115639240.0,48585797.0,115639240.0,200729750.0,0.0,0.0,0.0,1128864.0,200729750.0,18.61,23750074.0,66045776.0,1144503.0,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
1018102876,2021.0,0.0,17352026.0,0.0,233646518.0,0.0,35.283,104368309.0,0.0,4936727.0,104368309.0,3679145.0,141196373.0,1848966.0,0.0,0.0,0.0,0.0,0.0,230033.0,15401382.0,0.0,139347407.0,167.672,233646518.0,-27.397,85585791.0,24638.0,11752937.0,131092898.0,54749879.0,131092898.0,272289271.0,0.0,0.0,0.0,655370.0,272289271.0,35.65,27956664.0,88966927.0,1144503.0,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
1018200478,2017.0,0.0,103787.0,0.0,3641895.0,0.0,-3.313,2318040.0,0.0,0.0,2318040.0,0.0,367698.0,140927.0,0.0,0.0,0.0,0.0,0.0,65781.0,53680.0,0.0,226771.0,1605.979,3641895.0,-2.829,409049.0,0.0,1462777.0,4409049.0,0.0,4409049.0,4776747.0,0.0,0.0,0.0,0.0,4776747.0,-0.69,0.0,2264360.0,3989945.0,기타(비영리법인),B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
1018200478,2018.0,0.0,229365.0,0.0,3906204.0,0.0,13.649,2634420.0,0.0,0.0,2634420.0,0.0,375859.0,153314.0,0.0,0.0,0.0,0.0,0.0,64034.0,174818.0,0.0,222545.0,1755.242,3906204.0,-2.36,638414.0,0.0,1540282.0,4638414.0,0.0,4638414.0,5014272.0,0.0,0.0,0.0,0.0,5014272.0,4.973,0.0,2459602.0,3989945.0,기타(비영리법인),B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
1018200478,2019.0,0.0,134233.0,0.0,4022444.0,0.0,0.018,2634904.0,2628418.0,0.0,6486.0,0.0,379043.0,161151.0,0.0,0.0,0.0,0.0,0.0,131000.0,6486.0,0.0,217892.0,1846.072,4022444.0,1.911,772647.0,0.0,0.0,4772647.0,0.0,4772647.0,5151690.0,0.0,0.0,0.0,0.0,5151690.0,2.741,0.0,0.0,3989945.0,기타(비영리법인),B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
1018200478,2020.0,0.0,363349.0,0.0,4401972.0,0.0,17.629,3099420.0,2806800.0,0.0,292620.0,0.0,454338.0,186643.0,0.0,0.0,0.0,0.0,0.0,70759.0,292620.0,0.0,267695.0,1644.398,4401972.0,5.235,1135995.0,0.0,0.0,5135995.0,0.0,5135995.0,5590333.0,0.0,0.0,0.0,0.0,5590333.0,8.515,0.0,0.0,3989945.0,기타(비영리법인),B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
1018209933,2017.0,0.0,30591.0,0.0,209035.0,0.0,12.563,637332.0,39262.0,0.0,598070.0,0.0,103845.0,79334.0,0.0,0.0,0.0,0.0,0.0,0.0,29141.0,0.0,24511.0,852.821,209035.0,1000000000000.0,102189.0,0.0,144507.0,285189.0,0.0,285189.0,389035.0,0.0,0.0,0.0,5000.0,389035.0,-13.652,40000.0,568929.0,3054960.0,기타(비영리법인),B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
1018209933,2018.0,0.0,66767.0,0.0,277272.0,0.0,-24.814,479184.0,236018.0,0.0,243166.0,0.0,105315.0,72995.0,0.0,0.0,0.0,0.0,0.0,0.0,66767.0,0.0,32320.0,857.896,277272.0,1000000000000.0,351957.0,0.0,138757.0,351957.0,0.0,351957.0,457272.0,0.0,0.0,0.0,5000.0,457272.0,17.54,40000.0,176399.0,3054960.0,기타(비영리법인),B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
