,BusinessNum,cmpCd,cmpNm,cmpScl,criGrd,accDate,grdDesc
150,6138107051,,,,,,
151,1278608137,,,,,,
152,8538605403,,,,,,
153,1058708631,,,,,,
154,1058704837,4159429,(주)중앙디자인,중소기업,B2,2022-02-15,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
155,1218103764,,,,,,
156,8328806863,8957805,그리고나무,중소기업,C3,2022-07-19,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준
157,1058707499,,,,,,
158,1138601008,,,,,,
159,1218100534,,,,,,
160,1138107504,,,,,,
161,1378806252,,,,,,
162,1052306139,,,,,,
163,4188107625,,,,,,
164,5868103558,,,,,,
165,6708105431,,,,,,
166,2148804352,,,,,,
167,5058108440,,,,,,
168,2268608592,,,,,,
169,6848605240,,,,,,
170,1358107212,,,,,,
171,1232402587,,,,,,
172,2148605120,,,,,,
173,1148602144,,,,,,
174,1098605049,5958770,퍼브,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
175,6058109311,,,,,,
176,1218103619,,,,,,
177,5178106027,,,,,,
178,7748708955,,,,,,
179,1131201292,,,,,,
180,1050504300,,,,,,
181,6358703369,8893500,토펙건축사사무소,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
182,2468106208,,,,,,
183,1548703545,,,,,,
184,5058107658,,,,,,
185,2208803433,,,,,,
186,5048101600,,,,,,
187,2458809663,,,,,,
188,5138108838,,,,,,
189,5348603187,,,,,,
190,2208809569,,,,,,
191,1198602789,,,,,,
192,1228604954,,,,,,
193,1178107908,,,,,,
194,6038200532,,,,,,
195,8204409316,,,,,,
196,6958605149,,,,,,
197,1378601432,,,,,,
198,8728607695,,,,,,
199,1198606362,,,,,,
200,5368601488,9032648,깃플,중소기업,C1,2022-07-19,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준"
201,3128106162,,,,,,
202,1758800448,,,,,,
203,1208700159,,,,,,
204,1088108635,1274600,(주)웰투두,중소기업,B3,2022-02-15,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
205,4338606998,,,,,,
206,4648104537,,,,,,
207,1348109870,,,,,,
208,3088104638,,,,,,
209,6138105316,1164026,한솔티엔씨,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
210,5488604786,,,,,,
211,6120408266,,,,,,
212,1208705111,3204669,휴버텍,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
213,1058704690,,,,,,
214,1098108140,1383765,강남건설,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
215,2118602170,,,,,,
216,4108607622,,,,,,
217,1148600418,,,,,,
218,4178105554,,,,,,
219,1918803596,6801656,(주)레이지앤트,중소기업,C3,2022-04-15,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준
220,7052100784,,,,,,
221,6168607659,,,,,,
222,6138105317,1825427,대일공영,중소기업,C2,2022-07-19,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
223,1058602093,,,,,,
224,2138601148,,,,,,
225,6188603117,8233808,특별한서재,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
226,8848105899,,,,,,
227,1148608870,,,,,,
228,3018607724,,,,,,
229,1058706833,,,,,,
230,1245206691,,,,,,
231,8968801450,,,,,,
232,6058609173,,,,,,
233,4688607128,,,,,,
234,6198101691,,,,,,
235,3478805734,,,,,,
236,1268604124,,,,,,
237,8878703946,,,,,,
238,1768105257,,,,,,
239,4178103172,,,,,,
240,4498706798,,,,,,
241,1470204046,,,,,,
242,2208804998,,,,,,
243,5755606940,,,,,,
244,1351900049,,,,,,
245,1051803993,,,,,,
246,1088102333,,,,,,
247,1138109377,,,,,,
248,8578705077,,,,,,
249,5958606577,,,,,,
250,3838804771,,,,,,
251,2208709660,,,,,,
252,1191306943,,,,,,
253,5048504267,,,,,,
254,4908809446,,,,,,
255,1228105549,,,,,,
256,8848707030,,,,,,
257,2068604206,,,,,,
258,5688700744,,,,,,
259,4398707444,,,,,,
260,1448100643,,,,,,
261,1388109539,,,,,,
262,1178105037,2938434,지엠디텔레콤,중소기업,B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
263,4018105438,,,,,,
264,1218102952,,,,,,
265,1058609354,,,,,,
266,2110605903,,,,,,
267,6318107469,,,,,,
268,1188100369,1239043,이니스트팜,중소기업,B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
269,5668103896,,,,,,
270,1208709416,,,,,,
271,1298100577,,,,,,
272,2148704816,1561569,넷크로스,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
273,6178601908,,,,,,
274,4668601446,,,,,,
275,5940900141,,,,,,
276,1052104988,,,,,,
277,2248103704,,,,,,
278,1059006101,,,,,,
279,6178105709,,,,,,
280,4428807687,,,,,,
281,1318508622,,,,,,
282,4878609340,,,,,,
283,6028104601,,,,,,
284,8818801372,6666026,에이엠씨커뮤니케이션,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
285,1128104294,,,,,,
286,1068605639,,,,,,
287,5458102708,,,,,,
288,1108101878,,,,,,
289,6968606032,,,,,,
290,2108106066,,,,,,
291,1178108383,,,,,,
292,5158606366,,,,,,
293,1028100591,,,,,,
294,3158106574,,,,,,
295,1243401469,,,,,,
296,2118609462,,,,,,
297,4628104825,6513303,넥스미디어,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
298,4728601627,,,,,,
299,1050801982,,,,,,
300,4018103032,,,,,,
301,3558703000,,,,,,
302,2648106019,,,,,,
303,3178105178,,,,,,
304,1058607122,,,,,,
305,6168107847,,,,,,
306,6638702317,,,,,,
307,1198103267,,,,,,
308,1238101777,,,,,,
309,2118605867,,,,,,
310,2118101597,,,,,,
311,1358107642,,,,,,
312,3718805857,,,,,,
313,6998100589,,,,,,
314,1198601017,,,,,,
315,1138107370,,,,,,
316,6698704991,,,,,,
317,2218105203,,,,,,
318,7188104938,,,,,,
319,2018604204,,,,,,
320,8138100244,,,,,,
321,1103508638,,,,,,
322,1098606060,,,,,,
323,2068603342,4142191,플라이쿱,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
324,1348604431,,,,,,
325,2208803691,,,,,,
326,1068604035,,,,,,
327,1358105033,,,,,,
328,1058708972,,,,,,
329,8468609719,,,,,,
330,1688605374,,,,,,
331,2098105495,2622550,하나로건설,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
332,3658102937,,,,,,
333,1208108424,,,,,,
334,2048107262,,,,,,
335,1058703206,,,,,,
336,2268102075,,,,,,
337,3108104984,,,,,,
338,1058706495,,,,,,
339,2248105652,,,,,,
340,1108201361,5896003,국가임상시험지원재단,기타(비영리법인),C1,2022-07-19,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준"
341,4168105788,,,,,,
342,1068605834,,,,,,
343,6088108584,,,,,,
344,8128109787,8515759,지엘이앤씨,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
345,8608109846,,,,,,
346,1138608639,,,,,,
347,3758609390,,,,,,
348,4108104535,,,,,,
349,1098609602,,,,,,
350,1242209949,,,,,,
351,4128106787,1293898,로하스건설,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
352,2068602667,,,,,,
